word,count
dilma,1040
hoje,983
lula,970
disse,942
brasil,705
video,612
informou,589
petista,581
estao,566
michel,563
pais,557
sergio,526
durante,515
tudo,496
sera,495
politicos,485
eua,458
deputado,326
stf,305
moro,304
pf,293
nada,258
filho,252
fato,241
fez,237
pt,233
acordo,211
dinheiro,209
alguns,207
senador,191
sendo,189
preso,176
mundo,169
temer,163
milhoes,162
ministro,160
delacao,153
lei,131
voce,128
todo,127
eduardo,119
situacao,118
coreia,109
petrobras,102
pode,96
bem,92
juiz,91
vida,91
politico,88
agora,86
aecio,80
familia,75
poder,71
prisao,69
policia,68
mil,59
senado,58
nome,57
odebrecht,57
trump,56
operacao,54
militar,53
saude,50
corrupcao,49
projeto,49
apenas,45
grupo,44
faz,43
jose,43
denuncia,40
dias,39
presidencia,37
paulo,37
aqui,35
republica,35
crime,34
gente,34
dentro,33
advogado,32
assim,32
sistema,32
rio,28
vai,27
pessoas,27
so,26
janeiro,26
empresas,26
governo,25
empresa,25
seguranca,23
semana,23
cidade,23
estado,22
crimes,20
parte,20
meses,20
federal,19
justica,18
nova,17
trabalho,16
cerca,15
redes,15
globo,14
partido,14
camara,14
leia,13
nunca,13
pmdb,13
publica,13
campanha,13
propina,13
abaixo,11
momento,11
mulher,11
todos,10
valor,10
nao,10
qualquer,9
contra,9
silva,9
anos,9
quer,8
vez,8
feito,8
confira,8
veja,8
jato,8
favor,7
mostra,7
maior,7
sido,7
sociais,7
primeiro,7
fazer,7
impeachment,7
ja,7
ministerio,7
nacional,7
deu,6
r,6
onde,6
la,6
homem,6
discurso,6
povo,6
ultimo,6
rousseff,6
direito,6
investigacao,6
hospital,5
sabe,5
comecou,5
brasilia,5
fala,5
manha,5
site,5
tentou,5
caso,5
jornal,5
internet,5
jornalista,5
todas,5
ha,5
atraves,5
predio,5
tv,5
atencao,5
pra,5
populacao,5
cada,5
presidente,5
deputados,4
sul,4
programa,4
lugar,4
joao,4
incluindo,4
estar,4
usa,4
informacoes,4
esposa,4
cidadao,4
ne,4
antonio,4
deixou,4
deixar,4
ontem,4
aviao,4
diario,4
brasileiro,4
calheiros,4
votar,4
gritos,4
questao,4
ator,4
presidenta,4
noticia,4
sim,4
respeito,4
coisa,4
dar,4
pouco,4
resposta,4
saiu,4
sempre,4
casa,4
lava,4
conta,4
publico,4
supremo,4
record,3
segunda,3
dessa,3
palavras,3
mostrou,3
usou,3
