word,count
disse,1785
hoje,1149
lula,1041
dilma,939
estao,891
durante,816
informou,809
pais,795
tudo,748
sera,747
brasil,691
sergio,622
politicos,617
michel,605
video,600
petista,583
fato,577
stf,523
acordo,522
pode,514
eua,464
sendo,432
alguns,369
dinheiro,359
nada,348
filho,342
deputado,333
senador,322
fez,308
ministro,308
moro,273
petrobras,264
milhoes,235
operacao,224
ja,222
mundo,205
federal,199
lei,190
situacao,181
todo,171
republica,162
pt,161
preso,155
coreia,144
pf,142
vida,140
poder,139
bem,138
sido,116
temer,113
prisao,112
apenas,108
eduardo,107
delacao,104
politico,103
agora,102
parte,96
janeiro,92
voce,89
presidencia,85
justica,81
aecio,76
nao,74
familia,70
mil,63
militar,61
presidente,61
grupo,60
dias,58
sistema,55
trump,50
odebrecht,50
nome,49
projeto,48
estado,44
dentro,41
advogado,40
senado,39
pessoas,38
saude,37
denuncia,37
juiz,36
corrupcao,35
jose,35
policia,32
ministerio,32
paulo,30
empresas,28
anos,28
empresa,27
vez,26
rio,26
qualquer,25
ha,22
semana,22
gente,22
todos,21
jato,21
meses,20
so,19
governo,19
primeiro,19
crime,18
nova,17
cerca,16
seguranca,16
vai,16
jornalista,13
faz,13
momento,13
apos,12
assim,12
redes,12
pra,11
onde,11
mostra,10
informacoes,10
feito,10
contra,10
aqui,10
sao,10
globo,9
sociais,9
publica,9
chama,9
crimes,9
cidade,9
aconteceu,8
brasilia,8
povo,8
apresentador,7
valor,7
partido,7
deputados,6
r,6
americano,6
silva,6
abaixo,6
caso,6
veja,6
ultima,6
vivo,6
podera,6
assista,6
atraves,6
grande,6
confira,6
ficou,6
impeachment,6
mulher,6
campanha,6
leia,5
petistas,5
pessoa,5
morte,5
resposta,5
tentar,5
vizinho,5
palavras,5
vou,5
trabalho,5
deu,5
hospital,5
pouco,5
internet,5
brasileira,5
dizer,5
atencao,5
lado,5
votacao,5
votos,5
coisa,5
ate,5
vamos,5
aparece,4
homem,4
reuniao,4
cidadao,4
mendes,4
policial,4
chamou,4
folha,4
recebeu,4
chega,4
boca,4
pedido,4
ataque,4
junto,4
numero,4
imprensa,4
acha,4
dupla,4
estadao,4
algumas,4
vitima,4
passa,4
mal,4
ontem,4
falava,4
reporter,4
carro,4
falta,4
profissional,4
pmdb,4
forcas,4
sessao,4
twitter,4
filhos,4
leo,4
vila,4
receber,4
neste,4
lava,4
internado,3
empresario,3
calma,3
rodrigo,3
uns,3
invadiu,3
discurso,3
olha,3
maioria,3
servico,3
marcelo,3
doenca,3
guilherme,3
relator,3
pede,3
parlamentar,3
noite,3
manha,3
varias,3
cara,3
ricardo,3
manifestantes,3
congresso,3
internauta,3
carne,3
lucia,3
acusacao,3
grave,3
varios,3
mensagens,3
local,3
questao,3
possui,3
militares,3
bandido,3
youtube,3
avisou,3
rousseff,3
apoiar,3
principais,3
santos,3
estaria,3
hora,3
filha,3
rede,3
facebook,3
marisa,3
estar,3
delacoes,3
suposto,3
vezes,3
saber,3
paraty,3
zavascki,3
criminosos,3
madrugada,3
brasileiros,3
ter,3
votar,3
fazer,3
acidente,3
queria,3
cultura,3
site,3
estadual,3
posse,3
dono,3
funcionarios,3
devido,3
apartamento,3
global,3
audio,3
quer,3
marco,3
precisa,3
brasileiro,3
ai,3
news,3
sabe,3
nunca,3
chegar,3
exercito,3
jornal,3
honesta,3
final,3
tv,3
inicio,3
roberto,3
programa,3
tentou,3
ator,3
exemplo,3
ninguem,3
canal,3
postou,3
agentes,3
presidenta,3
alguem,3
voz,3
porem,3
falando,3
extra,3
volta,3
outros,3
olimpica,3
postagem,3
entrevista,3
lider,3
pagina,3
si,3
fonte,3
levou,3
plenario,3
quatro,3
reportagem,3
horas,3
sp,3
casa,3
escreveu,3
jovem,3
dizem,3
dizia,3
instagram,3
propina,3
nacional,3
comando,2
usado,2
quadro,2
demonstrou,2
fara,2
henrique,2
gritos,2
pai,2
feita,2
cinco,2
chamado,2
donald,2
bispo,2
abriu,2
expressao,2
ponto,2
destaque,2
festa,2
capital,2
vaga,2
fatos,2
viagem,2
chamar,2
parceira,2
popular,2
emocionou,2
futuro,2
maos,2
resumindo,2
manter,2
compara,2
diversos,2
fala,2
maiores,2
ficaram,2
passou,2
chefe,2
mae,2
reajuste,2
aposentadoria,2
curioso,2
som,2
cidada,2
antagonista,2
lindbergh,2
pedir,2
encontro,2
provavel,2
investigar,2
joesley,2
fachin,2
acesso,2
energia,2
quarteis,2
missil,2
refere,2
senhor,2
deixa,2
novamente,2
declaracao,2
invadem,2
geraldo,2
declarou,2
kim,2
rj,2
esposa,2
quadrados,2
pois,2
parlamentares,2
parabens,2
operacoes,2
pp,2
publicou,2
pesquisa,2
diario,2
mundial,2
foro,2
grandes,2
pedindo,2
liberdade,2
casal,2
