word,count
nao,6216
lula,3032
disse,2171
dilma,1842
presidente,1834
ser,1629
ja,1467
sao,1392
brasil,1380
tambem,1368
pais,1264
governo,1190
temer,1170
federal,1163
r,1159
sobre,1130
anos,1081
ainda,952
ate,937
contra,930
vai,892
acordo,892
ministro,888
durante,857
pode,852
pt,837
moro,837
milhoes,820
hoje,819
estao,786
ter,782
diz,767
sera,762
sergio,740
apos,740
ha,732
dia,723
dinheiro,722
pessoas,706
video,687
voce,686
coreia,685
eua,648
juiz,631
deputado,628
petista,627
so,623
policia,621
caso,621
paulo,585
mil,585
tudo,569
todos,562
estado,558
justica,556
stf,551
mundo,548
fazer,547
porque,546
michel,544
senador,542
norte,538
operacao,530
publico,514
parte,508
agora,505
informou,499
lava,498
casa,495
cunha,495
fez,494
jato,492
pf,480
republica,478
impeachment,470
onde,468
segundo,463
globo,463
politicos,461
afirmou,461
jornalista,459
outros,457
sendo,447
jornal,446
prisao,442
dois,440
todo,439
qualquer,435
vez,434
corrupcao,432
delacao,430
ministerio,426
odebrecht,425
camara,424
sociais,424
eduardo,419
ano,418
filho,417
bem,415
processo,415
dias,414
grupo,414
defesa,413
redes,411
pra,409
politica,405
senado,404
vida,404
preso,399
bolsonaro,393
informacoes,392
apenas,391
momento,384
podera,382
rousseff,379
jose,376
povo,371
alem,367
lei,356
trump,354
grande,350
maior,349
faz,347
silva,347
familia,346
assim,344
kim,343
alguns,341
nada,340
petrobras,339
guerra,338
atraves,334
poder,333
abaixo,331
aecio,329
empresa,326
brasilia,324
quer,323
desde,322
nome,319
nacional,318
fato,314
partido,312
politico,312
brasileiro,310
antes,309
conta,309
rio,308
outro,307
seguranca,304
gente,304
homem,303
aqui,302
ontem,298
entrevista,297
novo,296
renan,296
militar,294
deputados,294
sido,294
cargo,293
situacao,289
porem,289
semana,288
brasileiros,285
tempo,283
campanha,283
leia,282
informacao,281
rede,280
presidencia,280
programa,280
menos,279
ultima,279
vamos,278
fim,276
dentro,273
dizer,273
decisao,273
pedido,273
pouco,271
advogado,270
crime,267
sul,267
veja,266
ultimo,264
local,264
exercito,263
coisa,260
ira,260
site,259
havia,258
ninguem,255
cerca,254
entao,254
joao,250
nuclear,250
deu,249
cada,249
supremo,248
nunca,247
projeto,246
dar,246
luiz,246
ataque,246
declarou,246
nova,245
cidade,245
congresso,244
deve,244
la,242
direito,242
revista,241
sempre,241
sabe,240
pessoa,240
feito,240
meses,239
materia,239
recebeu,236
brasileira,235
chegou,233
pediu,232
algo,230
tv,229
enquanto,229
trabalho,229
pmdb,228
podem,228
toda,226
mendes,226
mulher,225
epoca,225
primeiro,224
propina,224
poderia,223
nota,223
lider,223
forma,223
estar,223
tres,222
ai,221
acao,220
curitiba,219
tribunal,219
investigacoes,219
historia,214
depoimento,213
duas,213
tambem,,212
sim,212
mostra,211
deus,210
meio,210
eleicoes,209
instituto,209
aconteceu,208
