,Index,GroundTruth,Prediction,Pred_prob,Is_Correct
3679,3679,True,Fake,0.5975502133369446,Incorrect
3685,3685,True,Fake,0.8895856738090515,Incorrect
3693,3693,True,Fake,0.7482923269271851,Incorrect
3713,3713,True,Fake,0.7963715195655823,Incorrect
3735,3735,True,Fake,0.9944067001342772,Incorrect
3740,3740,True,Fake,0.5269436240196228,Incorrect
3746,3746,True,Fake,0.8516016006469727,Incorrect
3763,3763,True,Fake,0.6530956029891968,Incorrect
3839,3839,True,Fake,0.6917518377304077,Incorrect
3841,3841,True,Fake,0.6684274673461914,Incorrect
3855,3855,True,Fake,0.5973783731460571,Incorrect
3876,3876,True,Fake,0.74394690990448,Incorrect
3888,3888,True,Fake,0.6766970157623291,Incorrect
3894,3894,True,Fake,0.978100836277008,Incorrect
3920,3920,True,Fake,0.5175677537918091,Incorrect
3922,3922,True,Fake,0.6983890533447266,Incorrect
3927,3927,True,Fake,0.8015373945236206,Incorrect
3929,3929,True,Fake,0.5984975099563599,Incorrect
3961,3961,True,Fake,0.6056287884712219,Incorrect
3966,3966,True,Fake,0.9225744605064392,Incorrect
3983,3983,True,Fake,0.5493688583374023,Incorrect
3992,3992,True,Fake,0.6257325410842896,Incorrect
4042,4042,True,Fake,0.5752110481262207,Incorrect
4045,4045,True,Fake,0.8631134033203125,Incorrect
4112,4112,True,Fake,0.8142222166061401,Incorrect
4133,4133,True,Fake,0.8118358850479126,Incorrect
4178,4178,True,Fake,0.7606061697006226,Incorrect
4189,4189,True,Fake,0.6759024262428284,Incorrect
4261,4261,True,Fake,0.7300093173980713,Incorrect
4274,4274,True,Fake,0.631345272064209,Incorrect
4278,4278,True,Fake,0.698131263256073,Incorrect
4290,4290,True,Fake,0.5286797881126404,Incorrect
4319,4319,True,Fake,0.5708824396133423,Incorrect
4344,4344,True,Fake,0.7825266122817993,Incorrect
4377,4377,True,Fake,0.6787165403366089,Incorrect
4378,4378,True,Fake,0.9948400259017944,Incorrect
4400,4400,True,Fake,0.5780856609344482,Incorrect
4409,4409,True,Fake,0.5207815170288086,Incorrect
4412,4412,True,Fake,0.5222176909446716,Incorrect
4527,4527,True,Fake,0.6879218816757202,Incorrect
4529,4529,True,Fake,0.7296282649040222,Incorrect
4599,4599,True,Fake,0.690130889415741,Incorrect
4615,4615,True,Fake,0.9672678709030152,Incorrect
4622,4622,True,Fake,0.6928198337554932,Incorrect
4646,4646,True,Fake,0.7526117563247681,Incorrect
4675,4675,True,Fake,0.9329317808151244,Incorrect
4731,4731,True,Fake,0.6387737393379211,Incorrect
4741,4741,True,Fake,0.988286018371582,Incorrect
4767,4767,True,Fake,0.8709278106689453,Incorrect
4778,4778,True,Fake,0.6971861124038696,Incorrect
4788,4788,True,Fake,0.7547389268875122,Incorrect
4807,4807,True,Fake,0.5621245503425598,Incorrect
4862,4862,True,Fake,0.5461677312850952,Incorrect
4883,4883,True,Fake,0.5441317558288574,Incorrect
4890,4890,True,Fake,0.55594801902771,Incorrect
4926,4926,True,Fake,0.7155691385269165,Incorrect
4934,4934,True,Fake,0.6094944477081299,Incorrect
4942,4942,True,Fake,0.5981416702270508,Incorrect
4957,4957,True,Fake,0.7720634937286377,Incorrect
4985,4985,True,Fake,0.7046955823898315,Incorrect
4987,4987,True,Fake,0.6256625056266785,Incorrect
5022,5022,True,Fake,0.7660760879516602,Incorrect
5033,5033,True,Fake,0.9993835687637328,Incorrect
5038,5038,True,Fake,0.726357102394104,Incorrect
