word,count
nao,5447
segundo,2829
sobre,2802
tambem,2470
sao,2332
ainda,1950
ser,1911
nesta,1904
anos,1854
afirmou,1823
presidente,1756
ano,1714
diz,1383
governo,1351
dia,1342
federal,1224
defesa,1218
lava,1163
tribunal,1108
jato,1090
apos,1027
decisao,1000
dois,987
entao,932
desta,920
processo,897
camara,859
publico,819
casa,816
porque,784
estados,758
regiao,757
rio,748
ate,734
ter,692
primeira,686
afirma,686
politica,685
temer,677
norte,657
pessoas,631
ministerio,610
tres,599
caso,596
sul,596
antes,595
empresa,594
contra,552
pedido,543
ja,534
luiz,534
supremo,522
partido,500
meio,497
nota,487
mulher,487
acao,486
alem,483
seguranca,468
odebrecht,452
forma,448
paulo,423
recursos,416
estado,413
desde,413
conta,407
trump,381
relacao,377
tempo,376
policia,374
ha,372
cidade,356
trabalho,351
campanha,344
novo,326
vai,316
sempre,313
havia,288
nacional,283
deve,278
coreia,243
duas,235
menos,233
fazer,228
pmdb,227
investigacao,225
senado,224
grande,213
onde,206
justica,203
outros,199
denuncia,198
outro,198
todos,181
projeto,173
fim,171
mil,171
silva,164
outras,161
gente,156
momento,155
so,155
voce,153
prisao,151
cada,149
ministro,147
maior,146
vez,144
lula,134
aecio,129
grupo,123
crime,120
republica,112
valor,109
jose,102
saude,99
milhoes,99
qualquer,97
direito,96
primeiro,96
propina,96
operacao,96
parte,95
outra,94
nova,94
juiz,91
empresas,85
publica,84
semana,82
militar,75
dias,73
meses,72
pode,72
cerca,71
corrupcao,70
janeiro,69
todas,68
sido,65
advogado,64
familia,61
feito,58
aqui,58
nunca,57
pt,55
dentro,55
sistema,48
vida,48
crimes,46
presidencia,46
petrobras,44
hoje,43
senador,41
nome,40
faz,34
eduardo,31
assim,28
agora,26
tudo,26
estao,26
bem,24
politicos,24
mundo,23
apenas,23
brasil,21
delacao,20
acordo,20
sergio,20
dilma,20
moro,18
michel,17
poder,16
pais,16
disse,15
stf,15
petista,15
lei,14
durante,14
manha,12
abaixo,12
sociais,12
dinheiro,11
comecou,11
vivo,11
brasileiro,10
assista,10
confira,9
globo,9
impeachment,9
quer,8
redes,8
tv,8
pra,8
deputado,8
pf,8
informou,8
local,7
recebeu,7
filho,7
proprio,6
ninguem,6
jornalista,6
vamos,6
aconteceu,6
renan,6
povo,6
podera,6
mostra,6
informacao,6
jornal,6
nada,6
fato,6
dessa,5
exercito,5
discurso,5
filha,5
tirar,5
palavras,5
apresentador,5
aparece,5
briga,5
equipe,5
medico,5
rede,5
voo,5
deus,5
enquanto,5
news,5
brasilia,5
joao,5
usado,4
deste,4
elogios,4
homem,4
total,4
fala,4
jovem,4
parlamentar,4
acha,4
brasileiros,4
declarou,4
claro,4
causa,4
americano,4
ataque,4
conhecido,4
parlamentares,4
divulgado,4
sim,4
informacoes,4
cara,4
vou,4
madrugada,4
pessoal,4
dona,4
alguem,4
aviao,4
sp,4
dizer,4
bolsonaro,4
evitar,4
oficial,4
facebook,4
cubanos,4
situacao,4
partir,4
reporter,4
cunha,4
vitima,4
feita,4
conseguiu,4
inicio,4
resposta,4
apoio,4
entrevista,4
ultimo,4
rodoviaria,4
delcidio,4
plenario,4
perto,4
saiu,4
video,4
sera,4
mae,3
hostilizado,3
podem,3
radio,3
pai,3
ocorrido,3
queria,3
gilmar,3
pede,3
site,3
casos,3
pagar,3
deputados,3
ricardo,3
atraves,3
investigar,3
chegou,3
segundos,3
ataques,3
acabou,3
pessoa,3
paises,3
enviou,3
ultima,3
forcas,3
perdeu,3
teori,3
la,3
materia,3
especial,3
primeiros,3
ai,3
proximo,3
trabalhar,3
drogas,3
rj,3
veja,3
senhor,3
passou,3
cameras,3
ficou,3
tomou,3
mendes,3
quase,3
morte,3
leia,3
centro,3
pouco,3
iria,3
programa,3
mal,3
musica,3
cidadao,3
deu,3
ne,3
alerta,3
junto,3
celular,3
caiado,3
autoridade,3
votar,3
comeca,3
propinas,3
corte,3
sessao,3
algo,3
senadores,3
lista,3
principal,3
manifestantes,3
agentes,3
r,3
campo,3
cargos,3
preso,3
cancer,3
vanessa,3
presidenta,3
movimentos,3
comunista,3
documento,3
deixa,3
apresentadora,3
chama,3
agenda,3
global,3
politico,3
frente,3
km,3
invadiu,3
carta,3
vereador,3
via,3
morre,3
parana,3
eua,3
alguns,3
todo,3
afastado,2
william,2
vaccari,2
mensagem,2
alertou,2
soltar,2
gravada,2
internet,2
chamado,2
concedeu,2
bebidas,2
mandou,2
edson,2
chaves,2
deram,2
corpo,2
garagem,2
postagem,2
irma,2
porto,2
ultimos,2
emocionou,2
neto,2
relator,2
transmissao,2
carvalho,2
lado,2
dificuldades,2
federais,2
friboi,2
auxilio,2
amigo,2
ameaca,2
tera,2
bancada,2
tal,2
soltou,2
passa,2
gravacoes,2
marcelo,2
tentar,2
sei,2
argumentos,2
autorizado,2
dirceu,2
mar,2
bombas,2
frota,2
refere,2
geraldo,2
sabado,2
kim,2
diogo,2
putin,2
novamente,2
esposa,2
familiares,2
etica,2
ira,2
costa,2
calada,2
noite,2
arthur,2
responsavel,2
participava,2
advogados,2
morreram,2
faria,2
saida,2
vira,2
reportagem,2
ana,2
patricia,2
ficam,2
maos,2
salvador,2
verbo,2
tiros,2
ausencia,2
qualidade,2
souza,2
direta,2
eleicoes,2
escapar,2
segue,2
olhos,2
leo,2
leticia,2
porem,2
boletim,2
aereas,2
risco,2
ambito,2
ministra,2
uol,2
roberto,2
hospital,2
ruim,2
zavascki,2
numero,2
portal,2
colega,2
emitiu,2
original,2
passageiros,2
morreu,2
daqui,2
marido,2
fica,2
unidos,2
mulheres,2
prefeito,2
mostram,2
presos,2
mortos,2
fortaleza,2
aerea,2
acabado,2
serao,2
rigor,2
golpe,2
valores,2
inclui,2
mundial,2
certa,2
interior,2
salao,2
assessoria,2
papa,2
bate,2
inacio,2
diga,2
tornado,2
capital,2
ocorreu,2
financiamento,2
dor,2
moral,2
abuso,2
urgente,2
votacao,2
ordem,2
melo,2
afastamento,2
calheiros,2
dolares,2
nomes,2
antagonista,2
aprovaram,2
preve,2
responsabilidade,2
dar,2
manifestacao,2
conflito,2
estaria,2
ditador,2
sofrimento,2
vejo,2
fernando,2
excelencia,2
plateia,2
diario,2
ir,2
chamar,2
porta,2
vitimizacao,2
cantora,2
recente,2
participacao,2
serie,2
quis,2
respeito,2
funcionarios,2
educacao,2
pm,2
pobres,2
impedir,2
entrou,2
contratado,2
machado,2
destruiram,2
minuto,2
gostou,2
iremos,2
atras,2
tornar,2
aeroporto,2
abril,2
conformou,2
quinta,2
assusta,2
santa,2
esperava,2
civil,2
desmascara,2
bomba,2
instituicoes,2
serem,2
