word,count
estao,1094
hoje,1002
brasil,989
disse,946
tudo,816
dilma,753
sera,699
lula,685
informou,671
durante,623
pode,604
pais,603
michel,573
dinheiro,546
politicos,537
fato,536
sergio,489
nada,462
fez,426
petista,420
alguns,413
video,412
presidente,380
ministro,339
delacao,320
republica,315
petrobras,304
sendo,303
moro,300
justica,290
prisao,288
lei,284
deputado,273
filho,269
senador,260
mundo,254
apenas,231
acordo,222
presidencia,221
politico,216
familia,216
eua,216
todo,211
voce,211
stf,202
parte,182
janeiro,179
coreia,178
ja,169
sido,159
eduardo,155
estado,148
milhoes,143
situacao,137
operacao,135
dias,126
pt,123
poder,122
preso,113
odebrecht,110
juiz,108
denuncia,107
diz,97
federal,95
fazer,92
nao,91
temer,85
grande,82
pf,81
qualquer,75
ministerio,74
semana,73
seguranca,72
propina,68
ter,67
so,65
sistema,59
primeiro,58
grupo,55
agora,53
meses,52
advogado,51
momento,51
nacional,50
nome,45
vida,44
trump,42
gente,41
dentro,40
militar,39
vai,39
faz,38
duas,38
empresa,37
bem,36
corrupcao,35
jato,35
caso,35
rio,35
aecio,34
valor,33
contra,31
policia,29
todas,27
sao,25
senado,25
maior,24
empresas,24
jose,24
outros,24
saude,22
desde,21
mil,20
nova,20
processo,20
cerca,19
globo,18
ha,18
lava,16
acao,16
vez,15
assim,15
alem,15
crime,15
supremo,14
confira,13
pessoas,13
partido,13
cidade,13
redes,12
ultimo,11
pedido,11
silva,11
aqui,11
vivo,11
campanha,11
anos,11
sociais,10
imagens,10
jornal,10
projeto,10
governo,10
direito,10
jornalista,9
ser,9
entrevista,9
paulo,9
ninguem,8
informacao,8
onde,8
ontem,8
coisa,8
programa,8
casa,8
pra,7
tera,7
site,7
atraves,7
quer,7
via,7
veja,7
morre,7
numero,7
assista,7
la,7
impeachment,7
cunha,6
ver,6
esposa,6
ultima,6
fala,6
tirar,6
sempre,6
deputados,6
brasileira,6
abaixo,6
antagonista,6
oficial,6
equipe,6
ficou,6
homem,5
russia,5
problemas,5
pois,5
votar,5
pagar,5
falar,5
r,5
nuclear,5
exercito,5
leo,5
varios,5
conhecido,5
guerra,5
voltou,5
comecou,5
mostra,5
voto,5
agencia,5
trabalho,5
senhora,5
sessao,5
votacao,5
reportagem,5
lista,5
jovem,5
feita,5
renan,5
carta,5
novo,5
outro,5
nunca,5
jornalistas,5
delcidio,5
palavras,5
vamos,5
postagem,5
discurso,5
rousseff,5
decidiu,4
povo,4
twitter,4
ambito,4
edson,4
manda,4
fatos,4
volta,4
relator,4
noite,4
manha,4
celular,4
declarou,4
facebook,4
levar,4
nucleares,4
cantor,4
donald,4
defender,4
casal,4
congresso,4
toda,4
lima,4
alguem,4
marido,4
carlos,4
chegar,4
poderia,4
gilmar,4
contou,4
leia,4
amigos,4
deixa,4
musica,4
recado,4
epoca,4
cima,4
informacoes,4
conseguiu,4
pedir,4
apoio,4
pede,4
voces,4
time,4
brasileiros,4
mim,4
encontrar,4
pmdb,4
funcionarios,4
brasileiro,4
internet,4
rebate,4
ator,4
quis,4
pessoal,4
cancer,4
imprensa,4
tribunal,4
noticia,4
brasilia,4
caixa,4
pagina,4
augusto,4
bolsonaro,4
deu,4
causa,4
quase,4
publica,4
camara,4
frente,3
inacio,3
rocha,3
pitt,3
vergonha,3
ministros,3
passou,3
enviou,3
existe,3
misseis,3
explicar,3
desse,3
manifestantes,3
plenario,3
identificado,3
sabe,3
partir,3
global,3
pediu,3
longe,3
principais,3
ficaram,3
hospital,3
ocorreu,3
desses,3
veiculo,3
pessoa,3
algumas,3
news,3
reforma,3
geraldo,3
recebeu,3
acoes,3
perdeu,3
avisou,3
ataque,3
fogo,3
falou,3
joao,3
queria,3
acha,3
mundial,3
cadeia,3
perder,3
pastor,3
ai,3
janot,3
passagem,3
lucia,3
policial,3
dialogo,3
leticia,3
amor,3
madrugada,3
cerebral,3
estadao,3
inicio,3
condicoes,3
antonio,3
querem,3
fiel,3
devido,3
apostolo,3
eleita,3
alerta,3
rede,3
curitiba,3
materia,3
soltou,3
interior,3
evento,3
intuito,3
parlamentar,3
diario,3
abuso,3
morte,3
abrir,3
toma,3
criminosos,3
confirmou,3
gleisi,3
ate,3
entra,3
criticas,3
deixou,3
sair,3
local,3
enfim,3
voo,3
ira,3
sitio,3
forcas,3
atencao,3
dizendo,3
abril,3
tecnologia,3
show,3
putin,3
imagem,3
candidato,3
chamou,3
centro,3
separacao,3
santos,3
senadora,3
artista,3
saber,3
minutos,3
ruim,3
fonte,3
filhos,3
foto,3
poucos,3
tentou,3
movimento,3
proprias,3
fim,3
participou,3
quatro,3
diante,3
querida,3
cliente,3
suposta,3
criticou,3
briga,3
posse,3
exercicio,3
pronunciamento,3
claro,3
vezes,3
df,3
morreu,3
usa,3
membros,3
publicos,3
divulgada,3
saida,3
mulher,3
dois,3
sirio,2
boechat,2
forte,2
maia,2
paraiba,2
hostilizado,2
elogios,2
rj,2
autoridades,2
gritos,2
registro,2
reuniao,2
sertanejo,2
total,2
demonstra,2
tomar,2
bons,2
imoveis,2
tratar,2
fachin,2
rodrigo,2
mandou,2
soltar,2
sob,2
chaves,2
amanha,2
paralisacao,2
viagem,2
plena,2
alexandre,2
recentemente,2
namorada,2
parana,2
postado,2
obteve,2
telefones,2
casos,2
catolica,2
predio,2
santa,2
clara,2
posto,2
continuou,2
linhas,2
telefone,2
neves,2
tomou,2
joesley,2
moral,2
esperanca,2
realmente,2
investigado,2
carmen,2
apresentador,2
perfil,2
guaruja,2
deixaram,2
instituicoes,2
resposta,2
professor,2
armas,2
avaliacao,2
quarteis,2
viver,2
h,2
tecido,2
determinado,2
acidente,2
excesso,2
turma,2
corpo,2
estatal,2
segundos,2
dada,2
filha,2
criaram,2
sabem,2
executivo,2
militares,2
youtube,2
doria,2
imediatamente,2
filosofia,2
emissora,2
costa,2
etica,2
vao,2
jean,2
administrativa,2
funcionaria,2
policiais,2
jovens,2
parabens,2
votos,2
colega,2
outra,2
investiga,2
votaram,2
colombia,2
energia,2
salvador,2
bndes,2
investigar,2
denuncias,2
escola,2
repente,2
maos,2
ficam,2
aconteceu,2
cultura,2
boa,2
bruno,2
regime,2
general,2
vitima,2
relato,2
fazendo,2
terra,2
recebido,2
troca,2
camargo,2
motivo,2
conhecimento,2
resultado,2
cruz,2
colunista,2
psdb,2
reporter,2
ultimas,2
simbolo,2
direcao,2
marisa,2
jo,2
tarde,2
sofreu,2
colocar,2
covarde,2
ficar,2
mal,2
domingo,2
autoriza,2
ministra,2
choque,2
dores,2
sentindo,2
infarto,2
depoimento,2
flagraram,2
publicou,2
guimaraes,2
abre,2
populacao,2
confirmado,2
informado,2
matei,2
governador,2
deriva,2
natal,2
parar,2
proprio,2
brincou,2
divulga,2
deus,2
talvez,2
vira,2
usando,2
novamente,2
risco,2
pl,2
roberto,2
financeiros,2
crimes,2
vaga,2
verde,2
inglaterra,2
divulgacao,2
caos,2
errado,2
jair,2
evangelicos,2
operacoes,2
assume,2
advogada,2
roma,2
historico,2
continua,2
crise,2
bate,2
urgente,2
autoridade,2
corte,2
maioria,2
acontecer,2
planilha,2
soares,2
artigo,2
acho,2
discussao,2
dando,2
branco,2
tentando,2
calheiros,2
nobres,2
aprovaram,2
parlamentares,2
destruir,2
destruicao,2
esplanada,2
causada,2
videos,2
maria,2
trabalhadores,2
farias,2
flagra,2
frota,2
ocorrido,2
precisou,2
mail,2
castro,2
comemorar,2
escreveu,2
geddel,2
publicacao,2
anunciou,2
quente,2
posta,2
plateia,2
gravou,2
brincadeira,2
panico,2
chamado,2
possibilidade,2
outras,2
pronunciou,2
resolver,2
mauricio,2
afirmando,2
dar,2
jogo,2
credito,2
esquema,2
corrupta,2
sofrendo,2
cinco,2
maluf,2
nota,2
sede,2
pm,2
linda,2
calma,2
gravar,2
ladrao,2
palocci,2
freitas,2
profissional,2
impedir,2
quiser,2
conclusoes,2
levado,2
tornar,2
divulgados,2
levou,2
percebeu,2
revista,2
sim,2
ameacas,2
pensar,2
km,2
cristina,2
justa,2
donos,2
ovacionado,2
mulheres,2
b,2
vanessa,2
medo,2
porta,2
nenhuma,2
precisa,2
moca,2
escritor,2
bateu,2
agentes,2
defendeu,2
educacao,2
encontrado,2
neste,2
encerrou,2
governos,2
gastou,2
caiu,2
diferente,2
bancada,2
ruas,2
casamento,2
instituicao,2
susto,2
horas,2
agir,2
daqui,2
corta,2
passa,2
roxo,2
afastada,2
serao,2
pagamentos,2
imovel,2
lado,2
vendeu,2
tv,2
orgaos,2
afastamento,2
argumentos,2
proximo,2
cumpriu,2
americano,2
mau,2
medica,2
senadores,2
criou,2
negocios,2
maiores,2
documento,2
lugar,2
cometeu,2
possivel,2
noticias,2
australiana,2
carro,2
aerea,2
olimpica,2
agua,2
evitar,2
acima,2
causando,2
especie,2
quinta,2
perca,2
raul,2
armadas,2
forca,2
possa,2
bloqueio,2
divulgado,2
importante,2
cidadao,2
presenca,2
planalto,2
golpe,2
pobres,2
deste,2
petistas,2
prontos,2
etc,2
fortunas,2
favor,2
aplausos,2
professora,2
decisao,2
quais,2
pagamento,2
ambos,2
olimpiadas,2
porem,2
necessario,2
apresentadora,2
discutir,2
nega,2
mente,2
dezenas,2
fiquei,2
nocao,2
comeca,2
ze,2
rouanet,2
polemico,2
presidencial,2
meia,2
criminoso,2
marcelo,2
falando,2
lindbergh,2
pagos,2
lider,2
tentativa,2
reais,2
disseram,2
estudantes,2
estara,2
abreu,2
especial,2
atos,2
obs,2
compra,2
belo,2
cara,2
vou,2
conversa,2
escandalo,2
opinioes,2
islamico,2
filiado,2
texto,2
capaz,2
nesse,2
base,2
ar,2
quebrou,2
alertou,2
ajudar,2
oas,2
portal,2
influencia,2
leva,2
trapalhada,2
nenhum,2
ditadura,2
formas,2
sabemos,2
elo,2
comentou,2
ultimos,2
estar,2
bandido,2
escrever,2
completou,2
pegou,2
grau,2
triplex,2
disso,2
vazou,2
saiu,2
aliados,2
urnas,2
mes,2
empresario,2
pontifice,2
bilhoes,2
enquanto,2
setembro,2
espanha,2
leitor,2
economico,2
viraliza,2
mostram,2
chega,2
respondeu,2
poupou,2
sul,2
estados,2
russa,2
medicina,2
apareceu,2
conta,2
ano,2
crescer,1
procedimento,1
cirurgia,1
vista,1
comprovou,1
barato,1
desmascarar,1
leis,1
colocou,1
peito,1
capital,1
cacula,1
gaucha,1
usurpar,1
cantando,1
sincronizar,1
mestres,1
compartilhado,1
completo,1
condutas,1
gritaria,1
desabafou,1
verdade,1
desmiolado,1
hamburgo,1
gilberto,1
estragada,1
ataca,1
mostrou,1
honesto,1
voltar,1
etiqueta,1
combater,1
francisco,1
ferrados,1
daily,1
surpresa,1
embalagens,1
importam,1
mala,1
prefiro,1
alvorada,1
menor,1
portao,1
trecho,1
assistam,1
frase,1
dizia,1
pesado,1
sexo,1
ficava,1
filma,1
relatar,1
frigorifico,1
segunda,1
gratificacao,1
comprovam,1
print,1
intencao,1
pensa,1
referiu,1
arquivo,1
recebemos,1
gravides,1
agressao,1
narrou,1
aljazeera,1
seven,1
park,1
pancreas,1
abandonar,1
seguro,1
latina,1
velada,1
atriz,1
emocionais,1
perdi,1
petezada,1
detido,1
entrou,1
sujo,1
nutrimos,1
desejava,1
razao,1
vontade,1
homicidio,1
empregada,1
chapa,1
resumindo,1
napoleao,1
rosa,1
raspados,1
estudioso,1
simultaneamente,1
mpf,1
duvido,1
olha,1
informa,1
incluindo,1
email,1
endereco,1
vaza,1
fixo,1
celulares,1
ricardo,1
filmada,1
vaticano,1
branca,1
eternizacao,1
cidada,1
patetico,1
obrigados,1
autodeclara,1
acontece,1
sucessora,1
sofre,1
coutinho,1
combate,1
salario,1
minimo,1
batista,1
acougueiro,1
tacaram,1
aprovou,1
predios,1
