word,count
nao,35883
ser,9608
sao,9607
tambem,9529
lula,8732
presidente,8722
sobre,8299
anos,8154
disse,8154
federal,7634
ja,7603
ainda,7020
governo,6801
segundo,6782
r,6240
ate,5817
brasil,5698
ha,5688
temer,5673
ter,5634
diz,5450
pais,5222
contra,4992
pessoas,4826
ano,4727
dia,4712
pode,4498
vai,4453
afirmou,4408
apos,4346
caso,4301
justica,4150
estado,4116
porque,4114
lava,3934
publico,3934
jato,3914
ministro,3855
dois,3849
policia,3810
milhoes,3775
defesa,3754
paulo,3705
acordo,3588
so,3568
processo,3525
ministerio,3517
fazer,3441
dinheiro,3331
rio,3318
estao,3309
nesta,3289
todos,3185
mil,3156
tribunal,3138
decisao,3136
casa,3118
outros,3109
voce,3068
alem,3040
odebrecht,3031
durante,3008
operacao,2995
parte,2983
hoje,2908
empresa,2846
entao,2829
republica,2819
desde,2799
onde,2754
camara,2741
prisao,2738
politica,2701
seguranca,2677
qualquer,2664
corrupcao,2641
grande,2631
dilma,2589
juiz,2561
sera,2558
grupo,2555
stf,2552
agora,2549
tres,2538
antes,2534
vez,2505
apenas,2448
nacional,2439
dias,2421
meio,2404
pt,2394
forma,2390
maior,2386
conta,2356
sido,2324
outro,2317
norte,2305
momento,2267
mundo,2263
supremo,2256
lei,2236
tempo,2231
denuncia,2227
moro,2220
acao,2202
trabalho,2200
gente,2193
pedido,2192
primeira,2167
menos,2157
tudo,2155
havia,2153
afirma,2151
coreia,2099
vida,2098
estados,2092
todo,2051
fez,2036
relacao,2035
assim,2035
partido,2004
sempre,1995
primeiro,1991
bem,1985
silva,1970
cidade,1957
crime,1946
publica,1936
deputado,1919
delacao,1905
poder,1901
novo,1900
duas,1896
aqui,1883
familia,1882
sendo,1876
outras,1858
deve,1855
fim,1849
nota,1836
trump,1829
meses,1820
campanha,1810
luiz,1807
cada,1793
janeiro,1788
regiao,1773
petrobras,1762
sul,1761
nome,1756
filho,1739
nunca,1731
nova,1727
senador,1720
empresas,1719
michel,1712
recursos,1709
sergio,1706
projeto,1677
faz,1642
jose,1641
alguns,1623
eua,1621
semana,1611
senado,1608
direito,1606
valor,1586
todas,1569
situacao,1563
advogado,1563
desta,1562
mulher,1558
fato,1547
reforma,1546
investigacao,1538
outra,1538
sistema,1528
feito,1528
propina,1523
passado,1516
julgamento,1516
politico,1509
crimes,1502
cerca,1498
disso,1494
neste,1487
dentro,1482
exemplo,1480
saude,1472
politicos,1467
unidos,1458
vezes,1453
historia,1438
nada,1433
quatro,1428
pmdb,1418
investigacoes,1417
preso,1414
militar,1409
segunda,1407
civil,1400
paises,1399
marco,1398
chegou,1393
depoimento,1391
presidencia,1381
local,1377
deputados,1371
podem,1367
instituto,1366
final,1365
joesley,1363
joao,1361
casos,1361
pf,1355
la,1354
pessoa,1350
dizer,1348
eleitoral,1346
possivel,1339
informou,1333
crise,1329
enquanto,1324
inicio,1317
eduardo,1317
aecio,1312
base,1309
congresso,1290
pouco,1285
brasilia,1278
partir,1273
psdb,1273
lado,1237
epoca,1234
dar,1227
brasileiro,1219
informacoes,1219
questao,1217
rodrigo,1215
quanto,1214
sob,1208
acoes,1206
quer,1200
recebeu,1199
veja,1196
proprio,1187
empresario,1185
apoio,1185
area,1184
ficou,1184
deste,1183
marcelo,1182
coisa,1170
cargo,1167
violencia,1167
mulheres,1162
numero,1161
melhor,1157
tipo,1154
cunha,1154
ver,1153
sociedade,1146
pediu,1144
pagamento,1141
quase,1139
vem,1139
bilhoes,1138
lider,1137
brasileira,1134
cinco,1133
apartamento,1130
noite,1123
medida,1120
mae,1120
mpf,1120
organizacao,1118
relator,1115
janot,1114
social,1112
poderia,1112
sociais,1111
entrevista,1110
contas,1109
passou,1104
problema,1103
jbs,1098
mes,1098
populacao,1095
guerra,1093
programa,1090
nenhum,1077
petista,1076
carlos,1072
apesar,1071
pena,1069
importante,1067
responsavel,1060
entanto,1058
medidas,1056
nesse,1056
fernando,1053
ministros,1052
provas,1049
muitos,1039
lavagem,1037
capital,1036
dados,1034
falar,1034
policiais,1033
roberto,1028
advogados,1027
acho,1027
mesma,1026
conselho,1021
centro,1017
proposta,1017
presos,1016
vao,1015
estar,1013
inacio,1010
desse,1003
uso,1002
comecou,1002
toda,1001
mandato,1001
precisa,1000
seis,997
palocci,996
frente,994
deu,994
tanto,986
verdade,985
morte,984
tao,983
caixa,982
candidato,981
antonio,977
mercado,970
quais,969
abaixo,967
periodo,963
ai,959
governador,955
ninguem,952
vamos,951
instancia,951
falta,950
armas,949
rousseff,946
direitos,945
homem,943
imprensa,941
dessa,941
geral,941
pra,939
video,937
principais,936
secretaria,936
dezembro,935
ordem,935
texto,931
reuniao,930
valores,925
pai,925
boa,923
batista,918
fatos,914
rede,912
publicos,912
atual,910
condenacao,909
ficar,906
lugar,906
causa,904
longo,904
penal,904
servicos,903
pois,901
horas,901
us,898
algo,896
forca,896
volta,895
sim,894
internacional,890
planalto,890
condenado,888
uniao,884
muitas,884
feita,884
ponto,884
contratos,883
algumas,882
eleicao,881
previdencia,880
corte,878
constituicao,878
eleicoes,873
regime,867
objetivo,866
ultimos,866
inquerito,866
esquema,865
porem,865
processos,864
fica,862
maia,857
busca,856
banco,853
comissao,852
gestao,852
nenhuma,850
oas,847
escola,845
propria,843
obras,843
maioria,840
risco,838
ultima,837
votos,835
educacao,834
respeito,831
coisas,830
possibilidade,829
partidos,826
fachin,825
sp,824
palacio,821
premiada,819
receber,818
setembro,818
manha,817
acesso,817
hospital,816
senhor,816
embora,815
acusacao,813
agua,812
deixar,810
problemas,810
criancas,807
liberdade,807
ideia,807
autoridades,807
claro,807
falou,804
fevereiro,803
total,803
diante,802
pagar,799
reportagem,799
existe,792
novembro,792
ato,792
ataque,792
alvo,792
deixou,791
economia,789
preciso,784
militares,783
bom,782
triplex,781
maio,779
manter,779
universidade,779
assunto,778
jornal,778
curitiba,778
evitar,777
voto,775
encontro,775
documento,775
prazo,773
impeachment,767
conforme,767
movimento,766
setor,762
bbc,761
documentos,760
imovel,759
redes,759
principal,757
varios,757
inclusive,756
sabe,756
aconteceu,753
oficial,752
renan,751
saber,747
contou,745
mendes,742
pratica,741
ultimo,741
junto,740
gilmar,740
forcas,740
compra,738
discurso,737
relatorio,735
corpo,735
resultado,734
maneira,733
pgr,732
controle,731
plano,731
servico,730
conversa,730
equipe,729
pagamentos,728
abril,726
jovem,726
votacao,725
grandes,725
prefeitura,725
algum,725
filha,723
ontem,721
fala,719
tentar,719
vista,719
vou,717
china,717
serao,716
espaco,714
diretor,713
parlamentares,712
americano,712
papel,711
muita,710
povo,709
participacao,709
hora,709
leia,709
criminosa,708
tarde,708
declarou,707
plenario,706
dificil,706
nuclear,705
alguem,704
kim,702
vitima,701
especial,699
serie,698
favor,698
alguma,696
tv,695
recurso,693
analise,693
outubro,692
brasileiros,691
parlamentar,689
ocorreu,688
economica,681
domingo,681
regional,680
troca,678
mudanca,677
prefeito,677
assessoria,677
neves,676
comando,675
delacoes,675
agosto,675
acusado,674
campo,673
novos,673
aumento,670
superior,669
logo,669
agentes,669
tentativa,665
filhos,665
policial,665
tema,662
chegar,661
devem,660
estadual,659
fase,658
mostra,658
zona,657
razao,657
executivo,657
conseguiu,655
informacao,654
intervencao,654
santos,653
julho,651
porto,650
chefe,649
sair,648
condicoes,648
somente,648
novas,648
amigos,648
procuradores,648
sabado,646
explica,644
oliveira,644
prova,644
propinas,644
sete,642
tera,640
acusacoes,639
demais,638
fundo,638
contato,637
nessa,637
rua,635
sentido,634
funcionarios,634
sentenca,633
mim,633
obra,632
fazendo,631
homens,631
ir,630
politicas,630
palavra,629
decidiu,627
judiciario,627
professor,626
ricardo,625
tse,625
integra,625
evento,625
crianca,624
ajuda,623
secretario,623
junho,621
henrique,621
resposta,620
dez,619
depoimentos,618
livro,618
forte,618
reu,616
russia,616
parece,615
administracao,615
vitimas,614
deveria,613
desenvolvimento,611
projetos,611
globo,611
varias,610
passiva,607
delegado,607
atuacao,606
pesquisa,606
proximo,605
atualmente,603
contrato,601
empreiteira,600
costa,598
unica,597
queria,597
acabou,596
negou,595
sessao,594
pedir,592
carro,592
grupos,590
relacoes,590
delator,589
podera,588
feitas,588
minas,587
ouvir,587
dizem,587
cultura,586
operacoes,586
pessoal,586
parana,585
levar,585
lima,583
trabalhadores,583
delatores,582
democracia,579
trabalhar,578
fazenda,576
internet,576
lista,575
maria,574
diferentes,574
talvez,573
diferente,573
passar,571
procurador,570
sede,568
exterior,568
agencia,565
combate,564
turma,564
construcao,562
dono,558
executivos,558
noticias,556
tal,556
sei,555
morreu,555
levou,552
amigo,552
principalmente,551
pontos,549
publicas,549
caminho,548
reformas,548
oito,546
entrar,545
aprovacao,545
central,544
interesse,540
mundial,539
capacidade,538
senadores,538
futuro,536
campanhas,536
mudancas,536
marisa,536
acima,535
discussao,533
neto,532
unico,532
bolsonaro,528
chamado,528
pedro,528
atencao,527
cidades,526
recebido,526
edson,526
seguida,525
ira,523
vara,523
necessidade,522
foro,520
atividades,520
continua,519
mudar,519
data,519
oposicao,518
conhecimento,517
garantir,514
defende,513
tratamento,513
atos,512
rocha,511
posicao,510
areas,510
drogas,509
investigados,508
ali,508
judicial,508
alta,508
usar,507
mao,507
membros,506
unidade,505
economico,505
humanos,504
ruas,504
responsabilidade,504
procuradoria,503
passa,502
fazem,502
candidatura,502
seguinte,501
medico,501
alckmin,500
explicou,499
desses,499
misseis,499
exercito,498
voltou,498
suspeita,496
milhao,495
mp,495
quero,495
pyongyang,494
certo,493
federais,493
orgao,493
pede,492
maiores,491
passada,491
jamais,490
questoes,488
modelo,488
casal,486
ajudar,485
alegre,485
alto,485
saida,485
cenario,485
serem,485
pedidos,484
menor,484
sabia,484
abertura,483
decisoes,482
presenca,482
entrou,481
mal,480
carreira,480
declaracao,478
vale,478
funcao,478
acidente,478
popular,476
lideres,475
municipal,475
continuar,475
nomes,474
producao,473
trafico,473
facebook,473
integrantes,472
filme,472
minutos,471
presidencial,470
quarta,470
especie,470
conseguir,469
venda,469
imagens,468
ameaca,467
tecnologia,467
diversos,467
musica,467
via,466
companhia,466
criar,465
governos,465
real,464
voltar,464
linha,464
comum,463
especialistas,463
fiscal,463
onu,462
imagem,461
esquerda,461
disputa,460
donald,460
estatal,459
defender,459
posse,459
jovens,458
pinheiro,457
envolvendo,457
diversas,456
questionado,456
tendo,455
investigado,455
negocios,455
instituicoes,454
predio,454
denuncias,454
servidores,454
criminal,454
criticas,453
medo,453
opiniao,453
necessario,452
bairro,452
realidade,452
media,451
criacao,450
contrario,450
investimentos,449
regras,449
dessas,449
atras,448
terra,448
queda,448
portanto,447
cabeca,447
dizendo,447
entender,446
aliados,445
fizeram,444
curso,442
mortes,442
doacoes,441
intencao,440
americana,440
influencia,439
acontece,439
chapa,438
origem,438
departamento,437
avaliacao,436
jornalista,436
usado,435
grave,435
querem,434
comunicacao,434
realmente,434
possa,434
conteudo,433
santana,433
ocasiao,432
beneficios,432
anunciou,431
colocar,431
comunidade,431
reducao,431
feitos,431
ambiente,430
material,429
lucia,429
perto,428
terca,428
tomar,428
sitio,428
suspeito,428
santa,427
mortos,427
associacao,427
geddel,427
sucesso,425
luis,425
condicao,425
votar,424
interior,423
abuso,423
eldorado,422
doenca,421
crescimento,421
livre,420
produtos,420
bastante,420
cara,419
gerais,419
referencia,419
dona,419
paulista,419
apresentou,418
cinema,417
empresarios,415
deixa,415
ataques,415
ve,414
apresentar,414
energia,414
saiu,414
viagem,413
reus,413
nega,413
debate,413
magistrado,412
unidades,411
nucleares,411
si,409
trata,408
franco,408
carmen,408
luta,408
disseram,406
siria,406
termos,405
pm,405
direcao,405
determinou,404
agenda,404
colaboracao,404
destacou,403
salvador,403
bruno,403
poucos,402
teste,402
ambito,401
viu,401
detalhes,401
municipio,400
conhecido,400
dado,400
declaracoes,399
artigo,399
cabral,399
deus,399
carta,398
aponta,397
candidatos,397
distrito,397
quinta,397
proxima,396
acredita,396
alves,395
atividade,395
f,395
comprar,395
juca,395
teixeira,394
podemos,393
veio,393
moreira,393
familiares,393
apreensao,393
participar,392
renda,392
pressao,392
moradores,391
juizes,391
atraves,391
eventual,390
dialogo,390
paz,390
cadeia,389
exercicio,389
conversas,389
autor,389
idade,389
meirelles,389
impacto,388
twitter,388
estrategia,388
acontecer,387
radio,385
audiencia,385
aurelio,384
tornou,384
j,384
teatro,384
legislacao,383
conjunto,383
delcidio,383
importantes,382
motivo,382
respondeu,382
carne,382
etica,382
cargos,381
nove,381
preocupacao,380
entrada,379
escolas,378
solucao,378
site,378
guaruja,378
provisoria,378
jogo,378
onibus,378
proximos,377
ganhou,376
espera,376
tucano,376
investigadores,375
testemunhas,375
orgaos,374
americanos,374
nivel,373
negocio,373
resultados,372
instituicao,372
legal,372
francisco,372
incluindo,372
pretende,371
armadas,371
bndes,371
formacao,370
assumir,369
ambos,369
missil,369
vieira,369
minimo,368
gastos,368
emprego,368
cumprir,368
aviao,368
tentou,367
realizada,366
diretamente,366
fundamental,366
souza,365
manifestantes,365
versao,365
bernardo,365
ensino,365
america,364
confirmou,364
preve,364
bahia,364
estudos,363
familias,363
chamou,363
comecar,363
maos,363
estadao,363
calheiros,363
tratar,362
encontrar,361
sala,361
venezuela,361
significa,361
manutencao,360
experiencia,360
manifestacao,360
machado,360
considerado,359
registro,358
carnaval,358
fogo,358
qualidade,357
franca,357
presente,357
negociacoes,357
especialmente,357
realizado,357
cidadao,357
indicios,357
funaro,356
claudio,356
afastamento,355
anterior,355
chamada,355
parecer,355
visita,354
assembleia,354
noticia,354
escritorio,354
pesquisas,353
marido,353
ministra,353
irregularidades,353
preventiva,352
mensagem,352
devera,352
assumiu,352
doria,352
beneficio,352
pior,352
gravacao,352
autoridade,350
preco,349
haver,349
irmao,349
aprovar,348
precisam,347
oportunidade,347
padilha,347
primeiros,347
divulgou,347
aeroporto,347
segue,346
profissionais,346
golpe,346
bancada,346
sancoes,346
comercio,346
internacionais,345
seguir,345
existem,344
certeza,344
comentario,344
sexta,344
execucao,343
perdeu,343
divida,343
acha,342
defendeu,342
conflito,342
alexandre,342
responder,342
envolvidos,341
reduzir,341
decreto,341
participou,340
visto,340
residencia,340
andrade,340
dirceu,340
receita,340
abrir,339
ia,339
loures,338
chega,337
analisar,337
semanas,337
episodio,337
moraes,336
naquele,335
jorge,335
aberto,335
morto,335
suposta,334
modo,334
menina,334
branca,334
revista,334
habeas,334
representa,333
tirar,333
reais,333
fazia,333
terreno,333
caiu,332
eleitorais,332
vitoria,331
ficaram,331
atendimento,331
interesses,331
mostram,331
propriedade,330
fiscais,330
orcamento,330
mostrar,330
comunicado,329
devido,329
efeito,329
corpus,328
virus,328
simples,327
criminosos,327
igreja,327
impedir,326
comeca,326
financiamento,326
leo,326
relatou,326
escreveu,326
partes,326
investigar,326
tiros,326
bens,326
monica,326
gabinete,325
stj,325
festa,325
santo,325
tornar,325
peemedebista,325
construtora,325
luz,324
fotos,324
silencio,324
inteligencia,324
privilegiado,324
mello,323
facil,323
afastado,323
decidir,323
martins,323
considera,323
precisamos,322
sigilo,322
posso,322
peca,322
discutir,322
novamente,321
locais,321
visao,321
financeiro,321
medicos,320
quadro,320
trabalha,320
vive,319
medio,319
profissional,319
duvida,319
mensagens,319
procedimento,319
territorio,318
teori,318
celular,318
aprovada,318
obstrucao,317
recuperacao,317
importancia,317
poderiam,317
the,317
lembra,317
sonora,317
juridica,317
resolver,317
decadas,316
moura,316
acordos,316
confianca,316
voces,316
momentos,315
especialista,315
mesa,315
disposicao,315
forum,315
quarto,314
falando,314
melo,313
estudante,313
delegacia,313
autorizacao,312
jornalistas,312
saud,312
ocorre,311
japao,311
estudo,311
divulgado,310
fiz,310
recentemente,310
ganhar,310
decada,309
envolvimento,309
mudou,309
andre,309
escolha,309
colegas,308
levado,308
expectativa,308
completa,308
custo,308
chegaram,308
aumentar,308
ameacas,308
ator,307
mandados,307
washington,307
recente,306
branco,306
aprovado,306
transporte,306
pauta,306
leis,305
historico,305
inqueritos,305
sexual,305
comecaram,305
prestar,305
representantes,304
realizar,304
edicao,304
junior,304
manifestacoes,304
veiculos,304
julgado,304
apresentada,303
vaccari,303
mar,302
responsaveis,302
pago,302
irmaos,302
compromisso,302
acredito,302
numeros,302
direita,301
castro,301
videos,301
divulgada,301
levantamento,300
arte,300
perda,300
planejamento,300
barroso,300
contar,300
salario,300
leva,299
movimentos,299
bumlai,299
tecnica,299
terceiro,298
programas,298
apresentacao,298
paga,298
patrimonio,298
palavras,298
investiga,298
aeronave,298
irma,297
complexo,297
futebol,297
assuntos,297
industria,297
dito,297
clique,296
permite,296
km,296
homicidios,296
iria,295
buscar,295
cabe,295
iniciativa,294
vivo,293
foto,293
suficiente,292
doacao,292
folha,291
investimento,291
previsao,291
apresentado,291
propostas,290
lancamento,290
obter,290
ideias,289
acaba,289
dificuldades,289
autos,289
vi,289
ocorrido,289
goias,289
oi,289
classe,288
virou,288
pasta,288
realizacao,288
show,288
seculo,288
eleito,287
professores,287
europa,287
cassacao,286
metade,286
negociacao,286
alunos,285
responde,285
artista,285
madrugada,285
entrega,284
ciencia,284
codigo,284
leticia,284
entregue,284
rodrigues,284
afirmam,284
protecao,283
taxa,283
entendimento,283
raquel,283
global,283
suspensao,282
lucio,282
diferenca,281
consegue,281
legislativo,281
passaram,281
liminar,281
suspeitos,281
tenta,281
trecho,281
andamento,281
credito,281
totalmente,281
suposto,280
metros,280
dem,280
ferreira,279
temas,279
york,279
pericia,279
estudantes,278
fabio,278
genero,278
avenida,278
cupula,278
terem,277
pensar,277
eventos,277
tempos,277
despesas,277
quis,277
vontade,276
acusados,276
esposa,276
impostos,276
glaucos,276
quantidade,275
mostrou,275
elementos,275
natal,275
