word,count
dilma,1048
hoje,992
lula,969
disse,946
brasil,703
video,611
informou,596
petista,579
estao,573
pais,564
michel,564
sergio,533
durante,515
tudo,504
sera,498
politicos,480
eua,455
deputado,329
moro,302
stf,302
pf,299
nada,259
filho,247
fez,242
fato,237
pt,232
dinheiro,218
alguns,208
acordo,204
senador,190
sendo,186
preso,173
mundo,165
temer,163
ministro,163
milhoes,162
delacao,155
lei,130
situacao,126
voce,125
todo,120
eduardo,120
coreia,107
petrobras,100
pode,96
juiz,92
politico,92
vida,90
bem,89
agora,84
aecio,81
familia,78
poder,73
policia,72
prisao,67
senado,60
mil,58
odebrecht,58
nome,57
trump,57
operacao,55
saude,53
corrupcao,52
militar,52
projeto,50
apenas,45
faz,43
jose,43
grupo,41
dias,39
denuncia,39
presidencia,38
advogado,36
dentro,36
paulo,36
aqui,35
crime,34
gente,34
assim,33
sistema,33
republica,30
pessoas,28
vai,27
janeiro,26
rio,26
governo,25
empresa,25
parte,25
empresas,25
so,24
semana,24
seguranca,23
estado,23
cidade,22
crimes,21
meses,19
justica,19
federal,16
trabalho,16
camara,16
cerca,15
nunca,15
globo,14
nova,14
pmdb,14
partido,14
publica,13
redes,12
confira,12
abaixo,12
campanha,12
propina,12
mulher,11
todos,10
mostra,10
contra,10
jornalista,9
momento,9
silva,9
valor,9
jato,9
nao,9
qualquer,8
maior,8
vez,8
feito,8
anos,8
tv,7
divulgou,7
fazer,7
pouco,7
bolsonaro,7
ja,7
site,6
pediu,6
onde,6
primeiro,6
veja,6
assista,6
brasileiros,6
deputados,6
leia,6
sim,6
sido,6
ministerio,6
investigacao,6
frente,5
pra,5
manda,5
noite,5
brasilia,5
exercito,5
guerra,5
caso,5
ultima,5
todas,5
ha,5
ator,5
sociais,5
impeachment,5
direito,5
nacional,5
presidente,5
ajudar,4
rede,4
inicio,4
sul,4
fazendo,4
algumas,4
ambos,4
ai,4
podera,4
pessoa,4
r,4
internautas,4
possui,4
crise,4
parece,4
congresso,4
deu,4
reporter,4
palavras,4
calheiros,4
hospital,4
alguem,4
rj,4
passou,4
acidente,4
texto,4
homem,4
ira,4
quer,4
policial,4
americano,4
povo,4
discurso,4
atencao,4
inteligencia,4
recado,4
voces,4
programa,4
ontem,4
vamos,4
dar,4
sempre,4
pessoal,4
casa,4
cada,4
lava,4
conta,4
publico,4
supremo,4
ate,4
jornal,3
materia,3
clipe,3
sic,3
sabe,3
hora,3
papas,3
pois,3
fachin,3
causa,3
feita,3
viagem,3
usar,3
saida,3
sede,3
oficial,3
quanto,3
pai,3
assistindo,3
joesley,3
deus,3
conseguiu,3
fogo,3
cara,3
clima,3
invadir,3
reuniao,3
passar,3
dando,3
processar,3
vou,3
unidos,3
mao,3
falar,3
manifestantes,3
ignorancia,3
diario,3
suposto,3
twitter,3
filha,3
morte,3
oliveira,3
porem,3
existem,3
sofre,3
receber,3
canal,3
whatsapp,3
aviao,3
morre,3
news,3
novos,3
podemos,3
mundial,3
vara,3
popular,3
continuou,3
internauta,3
apoio,3
soares,3
flagrado,3
vem,3
chamou,3
participa,3
votos,3
criminosos,3
maria,3
lindbergh,3
aparece,3
infarto,3
nota,3
psdb,3
grandes,3
coisa,3
publicou,3
revolta,3
show,3
postagens,3
santa,3
global,3
la,3
fatima,3
sp,3
entender,3
tera,3
lado,3
quase,3
mim,3
jogos,3
ana,3
manaus,3
pedido,3
dialogo,3
conversa,3
claro,3
maioria,3
chefe,3
comentarios,3
agencia,3
mst,3
manha,3
grita,3
medico,3
calou,3
chegou,3
tempo,3
acao,3
recursos,3
sao,3
dentes,2
cinco,2
carteirinha,2
alegre,2
segunda,2
trabalhadores,2
rapido,2
chegamos,2
alguma,2
repare,2
devem,2
civel,2
rodrigo,2
carro,2
assistam,2
namorada,2
atual,2
citar,2
acima,2
dispara,2
diversos,2
foco,2
servidores,2
registrou,2
conseguiram,2
assuntos,2
pedir,2
atitude,2
lucia,2
facebook,2
batista,2
oficialmente,2
afastar,2
deixaram,2
rousseff,2
poderoso,2
continuar,2
balistico,2
avisa,2
us,2
expressao,2
dada,2
confronto,2
destino,2
informaram,2
ajuda,2
siria,2
bairro,2
sarro,2
escreve,2
carta,2
senadores,2
festa,2
aconteceu,2
presidio,2
mandou,2
falou,2
tipo,2
pede,2
saiu,2
esporte,2
motivo,2
comunista,2
artigo,2
internacionais,2
resolveu,2
opiniao,2
apontam,2
assassinas,2
uniao,2
ouca,2
bandidos,2
exato,2
magistrado,2
exemplo,2
trabalha,2
pena,2
resultado,2
gabriel,2
santo,2
saia,2
local,2
cheguei,2
bom,2
relator,2
libanes,2
roberto,2
terras,2
levados,2
apresentar,2
faleceu,2
paz,2
autoriza,2
pm,2
dona,2
quiser,2
caiu,2
bombeiros,2
sociologia,2
horas,2
legenda,2
pequeno,2
plateia,2
tentar,2
ladrao,2
ter,2
acordou,2
lugar,2
reservado,2
risco,2
atentado,2
fornecedores,2
propria,2
rodrigues,2
uns,2
grava,2
alta,2
suposta,2
sbt,2
santos,2
decidiu,2
recebidos,2
cancao,2
apresentador,2
coisas,2
lewandowski,2
fieis,2
jogadores,2
muitos,2
postou,2
usando,2
petistas,2
esplanada,2
expressar,2
sair,2
resolver,2
folha,2
arvore,2
sequer,2
fama,2
socorro,2
sabado,2
entraram,2
plenario,2
educacao,2
amaral,2
bonner,2
colunista,2
jornalistas,2
proibida,2
enfrentando,2
alienigena,2
inves,2
alimentacao,2
nenhuma,2
invadem,2
panico,2
fonte,2
internet,2
neymar,2
levar,2
ilegal,2
manifesta,2
comecaram,2
joao,2
tanto,2
atos,2
solta,2
organizacao,2
provavelmente,2
recente,2
mentiroso,2
alma,2
jovem,2
fausto,2
usa,2
moca,2
gravacoes,2
agentes,2
volta,2
boca,2
francisco,2
atriz,2
acho,2
noticia,2
bernardes,2
soltou,2
deixou,2
ficou,2
bons,2
capital,2
cancer,2
vitima,2
ver,2
tecnico,2
b,2
perna,2
pergunta,2
passagem,2
internacional,2
noticias,2
explosao,2
empresario,2
ficaram,2
marido,2
duas,2
nenhum,2
outro,2
america,2
secretaria,2
simples,2
toma,2
dao,2
colocar,2
iniciativa,2
tocha,2
tentou,2
explicar,2
municipal,2
informacao,2
estar,2
celular,2
mes,2
mau,2
minuto,2
troca,2
entra,2
etica,2
milhao,2
sessao,2
mora,2
propinas,2
vezes,2
informacoes,2
marco,2
portal,2
waldir,2
brasileiro,2
confirma,2
chamado,2
chama,2
favor,2
milhares,2
ditadura,2
colegas,2
levou,2
tiririca,2
perdeu,2
seguiu,2
paga,2
dividindo,2
ir,2
assessor,2
divulgada,2
ultimo,2
segurancas,2
desrespeito,2
antagonista,2
ninguem,2
evitar,2
pagina,2
vivo,2
legal,2
chega,2
numero,2
divulgado,2
olha,2
domingo,2
ministra,2
airlines,2
quatro,2
seis,2
gravou,2
importante,2
regime,2
senhor,2
general,2
ponto,2
epoca,2
simplesmente,2
cunha,2
enquanto,2
cidadao,2
assaltos,2
pior,2
apresentadora,2
demais,2
padre,2
aliado,2
medicos,2
amigo,2
midia,2
gerais,2
atraves,2
antonio,2
convocou,2
viraliza,2
proximo,2
museu,2
lunatico,2
peso,2
compra,2
estatal,2
irma,2
passa,2
imprensa,2
decorrencia,2
ingles,2
kim,2
humorista,2
havia,2
processo,2
grande,2
vendem,1
pensam,1
arterias,1
continuara,1
rotina,1
significa,1
internado,1
encomendadas,1
bancos,1
desembarca,1
desembarcou,1
vargas,1
condenacoes,1
sincronizar,1
robocop,1
peco,1
esquentou,1
tira,1
culpa,1
desmiolado,1
aperto,1
assessores,1
duzia,1
zeze,1
facil,1
musico,1
direto,1
certas,1
celulares,1
amaldicoar,1
real,1
construcoes,1
enorme,1
importam,1
termico,1
wilson,1
abandonar,1
guarita,1
rapaz,1
soldados,1
comportamento,1
gritaria,1
hospitalizado,1
quilos,1
russia,1
comprovam,1
fatos,1
vergonha,1
barbosa,1
veloso,1
harald,1
entenderam,1
interceder,1
mesquita,1
feridas,1
atropelamento,1
sempreestareiaoseulado,1
instagram,1
golpista,1
protagonista,1
turcos,1
petezada,1
hostilizado,1
justamente,1
promiscuidade,1
imoralidade,1
sonho,1
estima,1
prestigio,1
lembrou,1
acompanharam,1
manter,1
resumindo,1
ministros,1
raspados,1
mala,1
rebateu,1
misseis,1
simultaneamente,1
disparou,1
horario,1
telefones,1
endereco,1
email,1
telefone,1
hospedado,1
igreja,1
branca,1
palhaco,1
confrontar,1
mentiras,1
patricia,1
chegada,1
unimed,1
espalhado,1
ilicitos,1
criminais,1
lembrava,1
aposentadoria,1
velhinhos,1
investigado,1
cortado,1
fervendo,1
nobres,1
registra,1
friboi,1
levantou,1
juntamente,1
horrores,1
gopi,1
relato,1
enviaram,1
loures,1
recorreu,1
reuniu,1
bloqueou,1
taxi,1
canais,1
audiencia,1
esposa,1
papai,1
elevada,1
aplicacao,1
inquerito,1
encurralado,1
picado,1
mata,1
xereta,1
violento,1
algo,1
justificar,1
catedral,1
vista,1
desmente,1
protocolaram,1
suspender,1
poupar,1
acabara,1
servicos,1
sarmat,1
substituindo,1
adotado,1
habilitado,1
devidamente,1
camareira,1
esclarece,1
colocada,1
nuclear,1
japao,1
foguetes,1
havera,1
lanca,1
missil,1
exames,1
casco,1
marinha,1
comandada,1
comunicado,1
wonsan,1
infinita,1
orcamento,1
egito,1
lacrimogenio,1
armados,1
ocorrem,1
revelado,1
pacifico,1
falencia,1
utiliza,1
expor,1
dolares,1
quebrado,1
sobrevoam,1
alcance,1
telefonema,1
bois,1
principal,1
legislativa,1
picole,1
delator,1
sinceramente,1
bbc,1
alemaes,1
incapazes,1
supremacia,1
imagens,1
anunciando,1
planos,1
esconder,1
hills,1
ditador,1
continuam,1
dispositivo,1
citado,1
valladares,1
direcionando,1
militares,1
blast,1
disposicao,1
pilotando,1
pronto,1
promessa,1
finalizou,1
nucleares,1
quimico,1
informando,1
cospe,1
mandioca,1
advertencia,1
voltei,1
agarrada,1
inclusive,1
chape,1
chamas,1
comissao,1
trocam,1
farpas,1
representam,1
trocaram,1
secar,1
marcada,1
juarez,1
theresa,1
britanico,1
dezenas,1
beneficiaria,1
outra,1
publicada,1
mensagem,1
praticadas,1
fraca,1
acontecido,1
golbery,1
chevrolet,1
presidios,1
articulava,1
cuida,1
dormir,1
apelido,1
destaque,1
anormal,1
salvador,1
nervoso,1
nacion,1
randolfe,1
carvalho,1
comeca,1
garota,1
dedo,1
alheia,1
liberdade,1
soltar,1
bruno,1
nasce,1
descobrir,1
agredir,1
quis,1
humanidade,1
ataca,1
pleno,1
infravermelha,1
deveria,1
destinado,1
localizados,1
conhecido,1
famoso,1
famosos,1
futuro,1
interesses,1
assumir,1
pecados,1
monitorando,1
balanca,1
coragem,1
instala,1
tela,1
publicitario,1
magda,1
pinto,1
professor,1
proximidade,1
carregando,1
sacolas,1
espirito,1
videncia,1
feminista,1
york,1
descontrolada,1
palestra,1
suficiente,1
negocio,1
doria,1
sabatina,1
centros,1
tailandia,1
expulsam,1
steve,1
riqueza,1
topo,1
edson,1
saldao,1
luciano,1
cheios,1
aceitado,1
respira,1
desigual,1
piora,1
caracterizada,1
negocios,1
coluna,1
complicada,1
baseia,1
virtuais,1
injustica,1
embarque,1
desembarcar,1
lata,1
mae,1
pneumonia,1
descaradamente,1
tirar,1
vazou,1
passaporte,1
cao,1
hitler,1
eike,1
curioso,1
matricula,1
turistas,1
delacoes,1
retomada,1
carmen,1
escapam,1
ambulancia,1
sentindo,1
dores,1
bateria,1
varios,1
colidiu,1
utilizar,1
avarias,1
fruto,1
realizada,1
mascaras,1
antigos,1
osmar,1
resultando,1
voar,1
desses,1
dados,1
asa,1
barqueiro,1
fumaca,1
acontecer,1
teori,1
embarcariam,1
embarcar,1
dono,1
catarina,1
rollemberg,1
evangelica,1
deriva,1
valdemiro,1
litoral,1
adora,1
vote,1
problema,1
forca,1
batalhao,1
guaritas,1
performance,1
ucraniano,1
tche,1
belo,1
mandataria,1
eleita,1
armada,1
cargo,1
nicolas,1
criticos,1
xingou,1
palavroes,1
eletronica,1
especie,1
limitada,1
cedo,1
circuito,1
repente,1
batida,1
faltar,1
fogem,1
cartaxo,1
evangelico,1
apareceu,1
armou,1
pagar,1
duro,1
acumularam,1
acabou,1
homens,1
divulga,1
quebrada,1
obreiros,1
pavoroso,1
rebeliao,1
agricola,1
usado,1
cristo,1
atras,1
procurador,1
carrinho,1
guildford,1
estacionado,1
situada,1
volei,1
facam,1
disputa,1
parceria,1
tapa,1
saem,1
empossado,1
catanduva,1
prefeito,1
posse,1
preco,1
redacao,1
recebe,1
familiares,1
questao,1
envia,1
tente,1
analisar,1
pinos,1
brazilian,1
mauricio,1
prender,1
tucanozinhos,1
funcionamento,1
