word,count
nao,3610
segundo,2851
sobre,2658
nesta,1943
afirmou,1814
ano,1531
ainda,1530
dia,1505
entao,1346
ser,1288
sao,1276
tambem,1260
tribunal,1232
porque,1208
defesa,1171
governo,1102
desta,1095
politica,1077
primeira,1056
afirma,1015
publico,987
lava,972
luiz,966
decisao,916
regiao,914
camara,895
anos,890
meio,868
relacao,856
diz,853
estados,830
antes,798
dois,792
supremo,766
tres,746
sul,715
temer,708
casa,704
processo,665
recursos,633
forma,627
norte,620
novo,611
deve,604
alem,587
investigacao,582
menos,574
sempre,563
rio,562
trabalho,548
ate,539
conta,538
nota,537
mulher,535
pedido,531
policia,529
presidente,525
jato,520
partido,493
contra,487
campanha,487
havia,484
empresa,466
caso,463
cidade,458
tempo,442
odebrecht,412
seguranca,411
desde,405
pmdb,403
paulo,397
apos,391
acao,369
maior,355
vai,355
trump,352
ter,320
propina,310
direito,298
fim,293
outras,293
senado,292
pessoas,289
nacional,286
cada,274
fazer,260
ministerio,244
outra,228
outro,227
silva,199
estado,185
coreia,184
valor,183
crime,183
duas,180
voce,177
ha,176
juiz,168
gente,164
nunca,161
grande,158
denuncia,150
outros,148
onde,147
projeto,144
so,134
mil,133
saude,128
aqui,117
momento,113
jose,112
pt,109
todos,104
todas,100
federal,93
crimes,93
faz,90
aecio,87
publica,87
grupo,86
nova,73
empresas,70
meses,70
corrupcao,66
semana,64
assim,62
nome,48
justica,44
militar,40
primeiro,39
lula,36
pf,35
qualquer,35
vez,34
advogado,33
cerca,30
dentro,30
prisao,29
feito,29
dias,23
familia,23
hoje,22
milhoes,20
eduardo,19
estao,19
delacao,17
fato,14
politicos,13
filho,13
informou,13
globo,12
sergio,12
nada,12
tudo,12
pode,12
vida,11
sera,11
brasil,11
disse,11
pra,10
sociais,10
impeachment,10
durante,10
alguns,10
sistema,9
ministro,9
informacao,9
jornalista,9
deputado,9
homem,8
r,8
imagens,8
assista,8
redes,8
michel,8
sp,7
confira,7
discurso,7
brasilia,7
la,7
agora,7
republica,7
petista,7
programa,6
manda,6
trecho,6
brasileiros,6
principal,6
comecou,6
noite,6
ontem,6
povo,6
abaixo,6
presidencia,6
dilma,6
pais,6
partir,5
mostra,5
imagem,5
exercito,5
celular,5
varios,5
plenario,5
pedir,5
decidiu,5
oficial,5
kim,5
ja,5
pai,5
rousseff,5
aparece,5
ultimo,5
henrique,5
porem,5
brasileiro,5
internauta,5
senhor,5
bolsonaro,5
vivo,5
renan,5
materia,5
recado,5
deputados,5
total,5
possivel,5
sendo,5
alegre,4
horas,4
acabou,4
fazendo,4
fogo,4
conhecido,4
cancer,4
ver,4
apareceu,4
votar,4
feliz,4
motivo,4
diversos,4
nacao,4
quase,4
policiais,4
atraves,4
costa,4
votacao,4
voces,4
inicio,4
marco,4
apresentadora,4
mae,4
reporter,4
relatou,4
forca,4
vamos,4
alguem,4
continua,4
veja,4
sessao,4
leia,4
bairro,4
acredita,4
tv,4
bem,4
cunha,4
parte,4
levou,4
igreja,4
declaracao,4
precisa,4
podera,4
site,4
wyllys,4
posse,4
carta,4
acordo,4
stf,4
lei,4
eua,4
ultima,3
dizer,3
apresentador,3
questao,3
soltar,3
raiva,3
aconteceu,3
precisou,3
rocha,3
edson,3
interno,3
pm,3
tao,3
aeroporto,3
fotos,3
diante,3
dispara,3
decretou,3
pobres,3
rodrigo,3
vanessa,3
recebe,3
passa,3
cargo,3
acusacao,3
capital,3
perdeu,3
considerado,3
segunda,3
defende,3
putin,3
uso,3
corpo,3
pessoa,3
recebeu,3
guerra,3
familiares,3
ajuda,3
etica,3
emissora,3
nomes,3
comecaram,3
apelido,3
prestem,3
pena,3
provar,3
vale,3
jornalistas,3
global,3
fernando,3
pede,3
sabe,3
tarde,3
acidente,3
comentou,3
muitos,3
criminosos,3
aeronave,3
aviao,3
frente,3
ladrao,3
cedo,3
equipe,3
deus,3
palavras,3
diario,3
algo,3
feita,3
dizendo,3
historia,3
ameacas,3
manha,3
jeito,3
quer,3
urgente,3
rede,3
verba,3
bilhoes,3
chamou,3
ator,3
segue,3
parlamentares,3
acontece,3
estaria,3
quantia,3
palacio,3
usou,3
imprensa,3
antagonista,3
coisa,3
curitiba,3
lista,3
favor,3
sitio,3
sede,3
local,3
fevereiro,3
medico,3
chega,3
explodiu,3
tire,3
briga,3
epoca,3
alvo,3
amor,3
fatima,3
artista,3
vou,3
proximo,3
sim,3
lindbergh,3
jogos,3
irma,3
fazia,3
problemas,3
maiores,3
parlamentar,3
rodoviaria,3
cardozo,3
psdb,3
pgr,3
foto,3
chamado,3
iria,3
jornal,3
compra,3
dessa,3
ganha,3
vendeu,3
deu,3
morte,3
afastado,3
cima,3
texto,3
recurso,3
moro,3
donald,3
falou,3
passou,3
pouco,3
propria,3
mes,3
jovem,3
furacao,3
senador,3
situacao,3
dinheiro,3
submeter,2
hora,2
ai,2
lugar,2
ruas,2
antonio,2
condenado,2
