word,count
nao,5453
segundo,2821
sobre,2811
tambem,2479
sao,2332
ainda,1970
ser,1903
nesta,1896
anos,1863
afirmou,1838
presidente,1751
ano,1736
diz,1397
governo,1359
dia,1335
federal,1222
defesa,1221
lava,1177
tribunal,1111
jato,1083
apos,1011
decisao,990
dois,966
entao,950
desta,918
processo,877
camara,851
publico,817
casa,814
porque,788
estados,754
rio,750
regiao,742
ate,719
afirma,695
primeira,682
temer,679
ter,676
politica,670
norte,658
pessoas,652
tres,610
caso,601
ministerio,595
sul,595
empresa,587
antes,578
contra,558
luiz,544
ja,539
pedido,531
supremo,522
partido,496
mulher,495
meio,494
alem,490
acao,480
seguranca,480
nota,475
odebrecht,460
forma,458
estado,423
paulo,419
recursos,413
desde,409
conta,409
tempo,387
relacao,379
trump,375
policia,373
ha,369
trabalho,359
cidade,353
campanha,353
novo,324
vai,323
sempre,313
havia,296
nacional,289
deve,276
coreia,244
investigacao,238
menos,236
duas,233
pmdb,232
fazer,232
senado,221
grande,218
onde,205
outros,203
outro,198
denuncia,196
justica,194
projeto,173
silva,173
todos,173
mil,168
fim,163
outras,160
cada,156
momento,155
voce,152
so,152
gente,151
prisao,150
ministro,150
vez,146
maior,141
aecio,135
lula,135
grupo,122
crime,116
republica,107
saude,105
jose,102
qualquer,102
parte,100
operacao,100
valor,99
milhoes,99
outra,96
primeiro,96
nova,96
propina,95
direito,93
juiz,86
empresas,86
publica,84
militar,78
semana,77
meses,75
dias,74
cerca,72
janeiro,71
corrupcao,66
todas,65
aqui,63
feito,62
pode,62
familia,61
sido,61
pt,60
advogado,60
dentro,55
nunca,54
vida,50
sistema,49
petrobras,46
presidencia,45
crimes,41
senador,38
hoje,37
nome,35
eduardo,34
faz,32
assim,31
tudo,31
bem,28
estao,28
brasil,27
apenas,25
disse,23
agora,23
dilma,22
moro,21
michel,21
petista,20
sergio,19
politicos,18
pais,18
acordo,17
mundo,16
stf,16
poder,16
delacao,15
lei,15
dinheiro,15
confira,12
sociais,11
jornal,11
informou,11
fato,11
filho,10
dar,9
redes,9
deputado,9
nada,8
jornalista,7
sera,7
mostra,6
entrevista,6
deputados,6
ato,6
ontem,6
atraves,6
local,6
comecou,6
globo,6
assista,6
bolsonaro,6
materia,6
abaixo,6
pouco,6
vivo,6
cunha,6
conseguiu,6
rousseff,6
alguns,6
durante,6
ninguem,5
homem,5
mandou,5
fogo,5
parlamentares,5
veiculo,5
varios,5
recebeu,5
cidadao,5
informacao,5
joao,5
reporter,5
renan,5
sessao,5
levou,5
exercito,5
aparece,5
pois,5
ultima,5
pf,5
chama,5
eua,5
preso,5
ruas,4
pai,4
pra,4
ai,4
antagonista,4
manda,4
dizer,4
algo,4
aconteceu,4
oficial,4
plenario,4
deus,4
cargo,4
imagem,4
militares,4
proprio,4
manha,4
rj,4
pagina,4
global,4
manifestantes,4
vem,4
fevereiro,4
centro,4
divulgado,4
falar,4
tao,4
deixou,4
teori,4
confirmou,4
madrugada,4
internet,4
social,4
brasileira,4
apoio,4
numero,4
