,Index,GroundTruth,Prediction,Pred_prob,Is_Correct
3,3,Fake,True,0.5143166383117759,Incorrect
43,43,Fake,True,0.5605098518798947,Incorrect
46,46,Fake,True,0.6797287905885718,Incorrect
50,50,Fake,True,0.5201617359969235,Incorrect
54,54,Fake,True,0.5580607243872622,Incorrect
57,57,Fake,True,0.8515381781468299,Incorrect
61,61,Fake,True,0.604949937691015,Incorrect
79,79,Fake,True,0.7651377606283851,Incorrect
98,98,Fake,True,0.5560895390889995,Incorrect
103,103,Fake,True,0.5068369427616235,Incorrect
118,118,Fake,True,0.5488911928199309,Incorrect
146,146,Fake,True,0.7391154643708986,Incorrect
157,157,Fake,True,0.846037553561105,Incorrect
173,173,Fake,True,0.5617887436430689,Incorrect
179,179,Fake,True,0.7551748117516509,Incorrect
190,190,Fake,True,0.5252886721253551,Incorrect
224,224,Fake,True,0.8819037726143825,Incorrect
268,268,Fake,True,0.6574984351400307,Incorrect
278,278,Fake,True,0.6231420190934156,Incorrect
279,279,Fake,True,0.5600516974168603,Incorrect
297,297,Fake,True,0.5230537457080064,Incorrect
312,312,Fake,True,0.6420307666262355,Incorrect
323,323,Fake,True,0.6086219067154632,Incorrect
330,330,Fake,True,0.5893829428464545,Incorrect
353,353,Fake,True,0.6053309943486629,Incorrect
368,368,Fake,True,0.7438245213956198,Incorrect
379,379,Fake,True,0.5864932761931485,Incorrect
401,401,Fake,True,0.6235352069603667,Incorrect
412,412,Fake,True,0.8080075218648793,Incorrect
423,423,Fake,True,0.7089151857393774,Incorrect
429,429,Fake,True,0.5888569547539402,Incorrect
450,450,Fake,True,0.6333328965699596,Incorrect
468,468,Fake,True,0.5367989848857062,Incorrect
485,485,Fake,True,0.5750624365914925,Incorrect
493,493,Fake,True,0.6328745975715765,Incorrect
496,496,Fake,True,0.5044438979451606,Incorrect
501,501,Fake,True,0.5370409813556548,Incorrect
533,533,Fake,True,0.9247682238151776,Incorrect
544,544,Fake,True,0.5016491711250591,Incorrect
562,562,Fake,True,0.7085321817957664,Incorrect
584,584,Fake,True,0.5894939523082809,Incorrect
604,604,Fake,True,0.5969609437170658,Incorrect
626,626,Fake,True,0.524131646720889,Incorrect
633,633,Fake,True,0.7751201459179683,Incorrect
655,655,Fake,True,0.6370950464793493,Incorrect
667,667,Fake,True,0.8025541846272115,Incorrect
676,676,Fake,True,0.5601268834565187,Incorrect
688,688,Fake,True,0.6301909184714791,Incorrect
766,766,Fake,True,0.622633915472028,Incorrect
777,777,Fake,True,0.8474175599219262,Incorrect
783,783,Fake,True,0.5850844184525736,Incorrect
789,789,Fake,True,0.7341578244917506,Incorrect
790,790,Fake,True,0.5364091181029569,Incorrect
811,811,Fake,True,0.5440874955643318,Incorrect
833,833,Fake,True,0.7221506797929355,Incorrect
842,842,Fake,True,0.5132812093288459,Incorrect
855,855,Fake,True,0.6538385896145299,Incorrect
866,866,Fake,True,0.7087751543673217,Incorrect
885,885,Fake,True,0.6721466423783131,Incorrect
889,889,Fake,True,0.5544191307502615,Incorrect
913,913,Fake,True,0.5358290260290127,Incorrect
916,916,Fake,True,0.5261785420365352,Incorrect
955,955,Fake,True,0.8617896181256413,Incorrect
966,966,Fake,True,0.5231241613815664,Incorrect
977,977,Fake,True,0.7688389715820905,Incorrect
979,979,Fake,True,0.5092972019070565,Incorrect
1044,1044,Fake,True,0.71205139612037,Incorrect
1056,1056,Fake,True,0.5755245234239972,Incorrect
1066,1066,Fake,True,0.6168167194430818,Incorrect
1074,1074,Fake,True,0.5901247378226906,Incorrect
1082,1082,Fake,True,0.5719930242528859,Incorrect
1108,1108,Fake,True,0.5207983047751571,Incorrect
1111,1111,Fake,True,0.6017862934554585,Incorrect
1115,1115,Fake,True,0.5064204413405311,Incorrect
1166,1166,Fake,True,0.8210095521592728,Incorrect
1281,1281,Fake,True,0.8669133289951843,Incorrect
1301,1301,Fake,True,0.5478367557529089,Incorrect
1303,1303,Fake,True,0.5524791581022885,Incorrect
1333,1333,Fake,True,0.7131774271965631,Incorrect
1339,1339,Fake,True,0.5147208981697309,Incorrect
1444,1444,Fake,True,0.8643466540617203,Incorrect
1511,1511,Fake,True,0.7464916074413828,Incorrect
1528,1528,Fake,True,0.5345352823460787,Incorrect
1555,1555,Fake,True,0.9726764864143124,Incorrect
1620,1620,Fake,True,0.540807325026494,Incorrect
1632,1632,Fake,True,0.5073885762497083,Incorrect
1638,1638,Fake,True,0.6182232789166678,Incorrect
1717,1717,Fake,True,0.5211994851404205,Incorrect
1718,1718,Fake,True,0.6944610182422972,Incorrect
1728,1728,Fake,True,0.520736524194866,Incorrect
1762,1762,Fake,True,0.5325551152754346,Incorrect
1776,1776,Fake,True,0.862642009081499,Incorrect
1798,1798,Fake,True,0.5447648121624941,Incorrect
1893,1893,Fake,True,0.6034943940210017,Incorrect
1999,1999,Fake,True,0.9180007298911224,Incorrect
2090,2090,Fake,True,0.5395326385362621,Incorrect
2110,2110,Fake,True,0.6200392924419205,Incorrect
2194,2194,Fake,True,0.6198774399928237,Incorrect
2208,2208,Fake,True,0.5223375871956146,Incorrect
2212,2212,Fake,True,0.5857410870304628,Incorrect
2221,2221,Fake,True,0.5246940931780242,Incorrect
2222,2222,Fake,True,0.8235599033929295,Incorrect
2274,2274,Fake,True,0.6171478463908434,Incorrect
2302,2302,Fake,True,0.6762731261076804,Incorrect
2333,2333,Fake,True,0.5741667810400521,Incorrect
2348,2348,Fake,True,0.5208357600438396,Incorrect
2364,2364,Fake,True,0.8263020248667612,Incorrect
2373,2373,Fake,True,0.8626042618042865,Incorrect
2388,2388,Fake,True,0.516471161898411,Incorrect
2417,2417,Fake,True,0.5264001014406916,Incorrect
2418,2418,Fake,True,0.6286592994656717,Incorrect
2438,2438,Fake,True,0.5077187833613388,Incorrect
2443,2443,Fake,True,0.5121433363350589,Incorrect
2469,2469,Fake,True,0.5492777212981295,Incorrect
2502,2502,Fake,True,0.8408016676545251,Incorrect
2505,2505,Fake,True,0.7219991216700931,Incorrect
2508,2508,Fake,True,0.5214011177688338,Incorrect
2518,2518,Fake,True,0.7118426556870023,Incorrect
2519,2519,Fake,True,0.8027540913811679,Incorrect
2542,2542,Fake,True,0.6357233800543749,Incorrect
2545,2545,Fake,True,0.7654617920237545,Incorrect
2589,2589,Fake,True,0.5110800373914492,Incorrect
2595,2595,Fake,True,0.6292777557647898,Incorrect
2607,2607,Fake,True,0.6304974393192636,Incorrect
2609,2609,Fake,True,0.7843513478240124,Incorrect
2613,2613,Fake,True,0.6310609244922589,Incorrect
2620,2620,Fake,True,0.9546814801526284,Incorrect
2646,2646,Fake,True,0.7145581081264473,Incorrect
2657,2657,Fake,True,0.622215054610745,Incorrect
2672,2672,Fake,True,0.6051916750518866,Incorrect
2683,2683,Fake,True,0.9052833248179648,Incorrect
2688,2688,Fake,True,0.5551265503568699,Incorrect
2697,2697,Fake,True,0.7785281448506451,Incorrect
2702,2702,Fake,True,0.8434955661148407,Incorrect
2714,2714,Fake,True,0.6429853797728431,Incorrect
2738,2738,Fake,True,0.5092558926402909,Incorrect
2740,2740,Fake,True,0.5805199636956342,Incorrect
2748,2748,Fake,True,0.5107603079025781,Incorrect
2769,2769,Fake,True,0.5240466596511932,Incorrect
2775,2775,Fake,True,0.6358710979187745,Incorrect
2779,2779,Fake,True,0.8124437956108327,Incorrect
2794,2794,Fake,True,0.5678006217795457,Incorrect
2795,2795,Fake,True,0.5120090594186733,Incorrect
2804,2804,Fake,True,0.8530054257051053,Incorrect
2813,2813,Fake,True,0.5163954902368302,Incorrect
2826,2826,Fake,True,0.5820828856947278,Incorrect
2830,2830,Fake,True,0.6004698152324839,Incorrect
